,corpus,model,topic,rater,intrusion,confidence
76,wikitext,mallet,41,122,1,1
77,wikitext,mallet,41,125,1,1
78,wikitext,mallet,41,137,1,1
79,wikitext,mallet,41,138,0,1
80,wikitext,mallet,41,143,1,1
81,wikitext,mallet,41,155,0,1
82,wikitext,mallet,41,156,1,1
83,wikitext,mallet,41,157,0,1
84,wikitext,mallet,12,1,1,1
85,wikitext,mallet,12,2,1,1
86,wikitext,mallet,12,14,1,1
87,wikitext,mallet,12,20,1,1
88,wikitext,mallet,12,23,1,1
89,wikitext,mallet,12,24,1,1
90,wikitext,mallet,12,26,1,1
91,wikitext,mallet,12,27,1,1
92,wikitext,mallet,12,28,1,1
93,wikitext,mallet,12,30,1,1
94,wikitext,mallet,12,31,1,1
95,wikitext,mallet,12,32,1,1
96,wikitext,mallet,12,34,1,1
97,wikitext,mallet,12,42,1,1
98,wikitext,mallet,12,43,1,1
99,wikitext,mallet,12,51,1,1
100,wikitext,mallet,12,52,1,1
101,wikitext,mallet,12,58,1,1
102,wikitext,mallet,12,63,1,1
103,wikitext,mallet,12,68,1,1
104,wikitext,mallet,12,73,1,1
105,wikitext,mallet,12,77,1,1
106,wikitext,mallet,12,78,1,1
107,wikitext,mallet,12,81,1,1
108,wikitext,mallet,12,84,1,1
109,wikitext,mallet,12,85,1,1
110,wikitext,mallet,12,90,1,1
111,wikitext,mallet,12,91,1,1
112,wikitext,mallet,12,92,1,1
113,wikitext,mallet,12,93,1,1
114,wikitext,mallet,12,96,0,1
115,wikitext,mallet,12,102,1,1
116,wikitext,mallet,12,104,1,1
117,wikitext,mallet,12,115,1,1
118,wikitext,mallet,12,116,1,1
119,wikitext,mallet,12,117,1,1
120,wikitext,mallet,12,118,1,1
121,wikitext,mallet,12,119,1,1
122,wikitext,mallet,12,122,1,1
123,wikitext,mallet,12,126,1,1
124,wikitext,mallet,12,132,1,1
125,wikitext,mallet,12,135,1,1
126,wikitext,mallet,12,144,1,1
127,wikitext,mallet,12,146,1,1
128,wikitext,mallet,12,147,1,1
129,wikitext,mallet,12,154,1,1
130,wikitext,mallet,12,156,0,1
131,wikitext,mallet,44,2,1,1
132,wikitext,mallet,44,10,1,1
133,wikitext,mallet,44,12,1,1
134,wikitext,mallet,44,13,1,1
135,wikitext,mallet,44,20,1,1
136,wikitext,mallet,44,21,1,1
137,wikitext,mallet,44,23,1,1
138,wikitext,mallet,44,26,1,0
139,wikitext,mallet,44,28,1,1
140,wikitext,mallet,44,43,1,1
141,wikitext,mallet,44,44,1,1
142,wikitext,mallet,44,45,1,1
143,wikitext,mallet,44,47,1,1
144,wikitext,mallet,44,52,1,1
145,wikitext,mallet,44,58,1,1
146,wikitext,mallet,44,61,1,1
147,wikitext,mallet,44,64,1,1
148,wikitext,mallet,44,81,1,1
149,wikitext,mallet,44,82,1,1
150,wikitext,mallet,44,87,1,1
151,wikitext,mallet,44,91,1,1
152,wikitext,mallet,44,100,1,1
153,wikitext,mallet,44,109,1,1
154,wikitext,mallet,44,110,1,1
155,wikitext,mallet,44,122,1,1
156,wikitext,mallet,44,124,1,1
157,wikitext,mallet,44,125,1,1
158,wikitext,mallet,44,126,1,1
159,wikitext,mallet,44,130,1,1
160,wikitext,mallet,44,132,1,1
161,wikitext,mallet,44,140,1,1
162,wikitext,mallet,44,153,1,1
163,wikitext,mallet,44,156,1,1
164,wikitext,mallet,19,1,1,1
165,wikitext,mallet,19,3,1,1
166,wikitext,mallet,19,12,1,1
167,wikitext,mallet,19,15,0,1
168,wikitext,mallet,19,22,0,1
169,wikitext,mallet,19,29,1,1
170,wikitext,mallet,19,30,1,1
171,wikitext,mallet,19,32,0,1
172,wikitext,mallet,19,34,1,1
173,wikitext,mallet,19,37,0,1
174,wikitext,mallet,19,44,1,1
175,wikitext,mallet,19,49,0,1
176,wikitext,mallet,19,53,0,1
177,wikitext,mallet,19,54,1,1
178,wikitext,mallet,19,56,1,1
179,wikitext,mallet,19,59,1,1
180,wikitext,mallet,19,63,1,1
181,wikitext,mallet,19,65,1,1
182,wikitext,mallet,19,68,1,1
183,wikitext,mallet,19,69,1,1
184,wikitext,mallet,19,73,1,1
185,wikitext,mallet,19,74,1,1
186,wikitext,mallet,19,76,1,1
187,wikitext,mallet,19,77,1,1
188,wikitext,mallet,19,80,1,1
189,wikitext,mallet,19,84,1,1
190,wikitext,mallet,19,85,1,1
191,wikitext,mallet,19,86,1,1
192,wikitext,mallet,19,87,1,1
193,wikitext,mallet,19,88,1,1
194,wikitext,mallet,19,89,0,1
195,wikitext,mallet,19,91,1,1
196,wikitext,mallet,19,92,1,1
197,wikitext,mallet,19,94,1,1
198,wikitext,mallet,19,99,1,1
199,wikitext,mallet,19,100,0,1
200,wikitext,mallet,19,113,1,1
201,wikitext,mallet,19,115,0,1
202,wikitext,mallet,19,118,1,1
203,wikitext,mallet,19,127,0,1
204,wikitext,mallet,19,129,0,1
205,wikitext,mallet,19,131,1,1
206,wikitext,mallet,19,134,1,1
207,wikitext,mallet,19,137,1,1
208,wikitext,mallet,19,142,0,1
209,wikitext,mallet,19,149,1,1
210,wikitext,mallet,19,151,1,1
211,wikitext,mallet,19,156,1,1
212,wikitext,mallet,19,157,1,1
213,wikitext,mallet,42,2,1,1
214,wikitext,mallet,42,10,0,1
215,wikitext,mallet,42,15,1,1
216,wikitext,mallet,42,16,1,1
217,wikitext,mallet,42,19,1,1
218,wikitext,mallet,42,20,1,1
219,wikitext,mallet,42,27,1,1
220,wikitext,mallet,42,33,1,1
221,wikitext,mallet,42,36,0,1
222,wikitext,mallet,42,38,1,1
223,wikitext,mallet,42,39,1,1
224,wikitext,mallet,42,47,1,1
225,wikitext,mallet,42,51,0,0
226,wikitext,mallet,42,53,1,1
227,wikitext,mallet,42,59,1,1
228,wikitext,mallet,42,62,1,1
229,wikitext,mallet,42,63,0,1
230,wikitext,mallet,42,70,1,1
231,wikitext,mallet,42,71,1,1
232,wikitext,mallet,42,75,1,1
233,wikitext,mallet,42,78,1,1
234,wikitext,mallet,42,81,1,1
235,wikitext,mallet,42,84,1,1
236,wikitext,mallet,42,87,1,1
237,wikitext,mallet,42,89,1,1
238,wikitext,mallet,42,93,0,1
239,wikitext,mallet,42,96,1,1
240,wikitext,mallet,42,105,1,1
241,wikitext,mallet,42,110,1,1
242,wikitext,mallet,42,111,1,1
243,wikitext,mallet,42,115,1,1
244,wikitext,mallet,42,128,1,1
245,wikitext,mallet,42,131,1,1
246,wikitext,mallet,42,134,1,1
247,wikitext,mallet,42,139,1,1
248,wikitext,mallet,42,144,1,1
249,wikitext,mallet,42,148,1,1
250,wikitext,mallet,42,150,0,1
251,wikitext,mallet,42,153,1,1
252,wikitext,mallet,42,154,1,1
253,wikitext,mallet,26,0,1,1
254,wikitext,mallet,26,4,1,1
255,wikitext,mallet,26,5,1,1
256,wikitext,mallet,26,7,1,1
257,wikitext,mallet,26,9,1,1
258,wikitext,mallet,26,13,0,0
259,wikitext,mallet,26,15,1,1
260,wikitext,mallet,26,17,1,1
261,wikitext,mallet,26,21,1,1
262,wikitext,mallet,26,23,1,1
263,wikitext,mallet,26,31,0,1
264,wikitext,mallet,26,35,1,1
265,wikitext,mallet,26,38,1,1
266,wikitext,mallet,26,44,1,1
267,wikitext,mallet,26,45,1,1
268,wikitext,mallet,26,47,1,1
269,wikitext,mallet,26,48,1,1
270,wikitext,mallet,26,51,1,1
271,wikitext,mallet,26,52,0,1
272,wikitext,mallet,26,57,1,1
273,wikitext,mallet,26,66,1,1
274,wikitext,mallet,26,67,1,1
275,wikitext,mallet,26,78,0,1
276,wikitext,mallet,26,79,0,1
277,wikitext,mallet,26,82,1,1
278,wikitext,mallet,26,86,0,1
279,wikitext,mallet,26,88,0,1
280,wikitext,mallet,26,96,1,1
281,wikitext,mallet,26,110,1,1
282,wikitext,mallet,26,114,0,1
283,wikitext,mallet,26,116,0,1
284,wikitext,mallet,26,117,1,1
285,wikitext,mallet,26,120,1,1
286,wikitext,mallet,26,121,1,1
287,wikitext,mallet,26,123,1,1
288,wikitext,mallet,26,126,1,1
289,wikitext,mallet,26,135,0,1
290,wikitext,mallet,26,139,1,1
291,wikitext,mallet,26,142,0,1
292,wikitext,mallet,26,143,0,1
293,wikitext,mallet,26,153,0,1
294,wikitext,mallet,26,158,0,1
295,wikitext,mallet,47,2,0,0
296,wikitext,mallet,47,4,1,1
297,wikitext,mallet,47,11,0,1
298,wikitext,mallet,47,13,1,1
299,wikitext,mallet,47,16,1,1
300,wikitext,mallet,47,17,0,1
301,wikitext,mallet,47,19,1,1
302,wikitext,mallet,47,21,0,1
303,wikitext,mallet,47,24,1,1
304,wikitext,mallet,47,25,1,1
305,wikitext,mallet,47,26,0,1
306,wikitext,mallet,47,27,0,1
307,wikitext,mallet,47,31,0,1
308,wikitext,mallet,47,40,1,1
309,wikitext,mallet,47,42,1,1
310,wikitext,mallet,47,56,1,1
311,wikitext,mallet,47,68,0,1
312,wikitext,mallet,47,73,1,1
313,wikitext,mallet,47,75,1,1
314,wikitext,mallet,47,76,1,1
315,wikitext,mallet,47,80,0,1
316,wikitext,mallet,47,82,0,1
317,wikitext,mallet,47,86,1,1
318,wikitext,mallet,47,96,0,1
319,wikitext,mallet,47,97,0,1
320,wikitext,mallet,47,98,0,1
321,wikitext,mallet,47,100,0,1
322,wikitext,mallet,47,104,0,1
323,wikitext,mallet,47,105,0,1
324,wikitext,mallet,47,109,1,1
325,wikitext,mallet,47,110,0,1
326,wikitext,mallet,47,114,0,1
327,wikitext,mallet,47,125,1,1
328,wikitext,mallet,47,126,1,1
329,wikitext,mallet,47,128,1,1
330,wikitext,mallet,47,129,1,1
331,wikitext,mallet,47,134,1,1
332,wikitext,mallet,47,137,1,1
333,wikitext,mallet,47,143,1,1
334,wikitext,mallet,47,144,1,1
335,wikitext,mallet,47,150,1,1
336,wikitext,mallet,47,154,1,1
337,wikitext,mallet,47,155,0,1
338,wikitext,mallet,47,159,1,1
339,wikitext,mallet,39,4,1,1
340,wikitext,mallet,39,10,0,1
341,wikitext,mallet,39,12,1,1
342,wikitext,mallet,39,15,1,1
343,wikitext,mallet,39,21,1,1
344,wikitext,mallet,39,30,1,1
345,wikitext,mallet,39,34,1,1
346,wikitext,mallet,39,36,1,1
347,wikitext,mallet,39,43,1,1
348,wikitext,mallet,39,50,1,1
349,wikitext,mallet,39,58,1,1
350,wikitext,mallet,39,60,1,1
351,wikitext,mallet,39,66,1,1
352,wikitext,mallet,39,68,1,1
353,wikitext,mallet,39,69,1,1
354,wikitext,mallet,39,71,1,1
355,wikitext,mallet,39,72,1,1
356,wikitext,mallet,39,75,1,1
357,wikitext,mallet,39,80,0,1
358,wikitext,mallet,39,83,0,1
359,wikitext,mallet,39,88,1,1
360,wikitext,mallet,39,89,1,1
361,wikitext,mallet,39,91,0,1
362,wikitext,mallet,39,98,1,1
363,wikitext,mallet,39,105,1,1
364,wikitext,mallet,39,106,1,1
365,wikitext,mallet,39,111,0,1
366,wikitext,mallet,39,115,1,1
367,wikitext,mallet,39,118,1,1
368,wikitext,mallet,39,121,1,1
369,wikitext,mallet,39,123,1,1
370,wikitext,mallet,39,126,1,1
371,wikitext,mallet,39,127,1,1
372,wikitext,mallet,39,131,1,1
373,wikitext,mallet,39,134,1,1
374,wikitext,mallet,39,140,0,1
375,wikitext,mallet,39,148,1,1
376,wikitext,mallet,39,149,0,1
377,wikitext,mallet,39,150,0,1
378,wikitext,mallet,39,152,1,1
379,wikitext,mallet,39,155,1,1
380,wikitext,mallet,39,156,0,1
381,wikitext,mallet,46,1,0,1
382,wikitext,mallet,46,5,0,1
383,wikitext,mallet,46,13,0,1
384,wikitext,mallet,46,19,1,1
385,wikitext,mallet,46,22,0,1
386,wikitext,mallet,46,23,0,1
387,wikitext,mallet,46,24,1,1
388,wikitext,mallet,46,29,0,1
389,wikitext,mallet,46,36,1,1
390,wikitext,mallet,46,39,0,1
391,wikitext,mallet,46,47,1,1
392,wikitext,mallet,46,56,1,1
393,wikitext,mallet,46,59,1,1
394,wikitext,mallet,46,65,0,1
395,wikitext,mallet,46,69,0,0
396,wikitext,mallet,46,75,0,1
397,wikitext,mallet,46,83,1,1
398,wikitext,mallet,46,90,1,1
399,wikitext,mallet,46,91,1,1
400,wikitext,mallet,46,95,1,1
401,wikitext,mallet,46,97,0,1
402,wikitext,mallet,46,102,0,1
403,wikitext,mallet,46,111,1,1
404,wikitext,mallet,46,115,0,1
405,wikitext,mallet,46,120,1,1
406,wikitext,mallet,46,124,0,1
407,wikitext,mallet,46,125,1,1
408,wikitext,mallet,46,127,1,1
409,wikitext,mallet,46,132,1,1
410,wikitext,mallet,46,136,1,1
411,wikitext,mallet,46,138,1,1
412,wikitext,mallet,46,158,1,1
413,wikitext,mallet,17,0,0,1
414,wikitext,mallet,17,2,0,1
415,wikitext,mallet,17,9,1,1
416,wikitext,mallet,17,10,1,1
417,wikitext,mallet,17,12,0,1
418,wikitext,mallet,17,17,1,1
419,wikitext,mallet,17,18,1,1
420,wikitext,mallet,17,20,1,0
421,wikitext,mallet,17,33,0,1
422,wikitext,mallet,17,40,1,1
423,wikitext,mallet,17,42,1,1
424,wikitext,mallet,17,45,1,1
425,wikitext,mallet,17,49,0,1
426,wikitext,mallet,17,53,1,1
427,wikitext,mallet,17,54,1,1
428,wikitext,mallet,17,57,1,1
429,wikitext,mallet,17,60,1,1
430,wikitext,mallet,17,73,1,1
431,wikitext,mallet,17,75,1,1
432,wikitext,mallet,17,78,1,1
433,wikitext,mallet,17,83,1,1
434,wikitext,mallet,17,89,0,1
435,wikitext,mallet,17,95,1,1
436,wikitext,mallet,17,102,1,1
437,wikitext,mallet,17,107,1,1
438,wikitext,mallet,17,111,0,1
439,wikitext,mallet,17,112,1,1
440,wikitext,mallet,17,121,1,1
441,wikitext,mallet,17,133,1,1
442,wikitext,mallet,17,135,1,1
443,wikitext,mallet,17,138,1,1
444,wikitext,mallet,17,145,0,1
445,wikitext,mallet,17,146,1,1
446,wikitext,mallet,17,147,1,1
447,wikitext,mallet,17,150,1,1
448,wikitext,mallet,17,151,0,0
449,wikitext,mallet,17,152,0,1
450,wikitext,mallet,17,153,1,1
451,wikitext,mallet,17,156,1,1
452,wikitext,mallet,17,159,1,1
453,wikitext,mallet,2,1,1,1
454,wikitext,mallet,2,2,1,1
455,wikitext,mallet,2,8,1,1
456,wikitext,mallet,2,9,1,1
457,wikitext,mallet,2,12,1,1
458,wikitext,mallet,2,15,1,1
459,wikitext,mallet,2,16,1,1
460,wikitext,mallet,2,18,1,1
461,wikitext,mallet,2,25,1,1
462,wikitext,mallet,2,36,1,1
463,wikitext,mallet,2,43,1,1
464,wikitext,mallet,2,45,1,1
465,wikitext,mallet,2,49,0,1
466,wikitext,mallet,2,64,0,1
467,wikitext,mallet,2,69,1,0
468,wikitext,mallet,2,71,1,1
469,wikitext,mallet,2,76,1,1
470,wikitext,mallet,2,77,1,1
471,wikitext,mallet,2,79,0,1
472,wikitext,mallet,2,83,0,1
473,wikitext,mallet,2,88,0,1
474,wikitext,mallet,2,94,0,1
475,wikitext,mallet,2,95,0,1
476,wikitext,mallet,2,98,0,1
477,wikitext,mallet,2,101,0,1
478,wikitext,mallet,2,102,0,1
479,wikitext,mallet,2,106,0,1
480,wikitext,mallet,2,110,0,1
481,wikitext,mallet,2,113,0,1
482,wikitext,mallet,2,121,1,1
483,wikitext,mallet,2,122,1,1
484,wikitext,mallet,2,125,1,1
485,wikitext,mallet,2,138,0,1
486,wikitext,mallet,2,142,1,1
487,wikitext,mallet,2,146,1,1
488,wikitext,mallet,2,148,1,1
489,wikitext,mallet,2,150,0,1
490,wikitext,mallet,2,155,1,1
491,wikitext,mallet,2,157,1,1
492,wikitext,mallet,38,9,0,1
493,wikitext,mallet,38,16,0,1
494,wikitext,mallet,38,17,1,1
495,wikitext,mallet,38,18,0,1
496,wikitext,mallet,38,23,1,1
497,wikitext,mallet,38,29,1,1
498,wikitext,mallet,38,30,1,1
499,wikitext,mallet,38,31,0,1
500,wikitext,mallet,38,34,0,1
501,wikitext,mallet,38,36,0,1
502,wikitext,mallet,38,38,1,1
503,wikitext,mallet,38,40,0,1
504,wikitext,mallet,38,42,1,1
505,wikitext,mallet,38,43,0,1
506,wikitext,mallet,38,45,1,1
507,wikitext,mallet,38,48,1,1
508,wikitext,mallet,38,51,0,0
509,wikitext,mallet,38,52,0,1
510,wikitext,mallet,38,58,0,1
511,wikitext,mallet,38,59,0,1
512,wikitext,mallet,38,60,0,1
513,wikitext,mallet,38,62,0,1
514,wikitext,mallet,38,65,0,1
515,wikitext,mallet,38,70,0,1
516,wikitext,mallet,38,71,0,1
517,wikitext,mallet,38,79,0,1
518,wikitext,mallet,38,85,0,1
519,wikitext,mallet,38,92,1,1
520,wikitext,mallet,38,94,1,1
521,wikitext,mallet,38,95,1,1
522,wikitext,mallet,38,97,0,1
523,wikitext,mallet,38,102,1,1
524,wikitext,mallet,38,103,1,1
525,wikitext,mallet,38,104,1,1
526,wikitext,mallet,38,116,0,1
527,wikitext,mallet,38,120,0,1
528,wikitext,mallet,38,127,0,1
529,wikitext,mallet,38,128,0,1
530,wikitext,mallet,38,129,0,1
531,wikitext,mallet,38,131,0,0
532,wikitext,mallet,38,134,0,1
533,wikitext,mallet,38,145,0,1
534,wikitext,mallet,38,148,0,1
535,wikitext,mallet,38,149,1,1
536,wikitext,mallet,38,152,0,1
537,wikitext,mallet,38,154,1,1
538,wikitext,mallet,24,0,1,1
539,wikitext,mallet,24,10,1,1
540,wikitext,mallet,24,11,1,1
541,wikitext,mallet,24,21,1,1
542,wikitext,mallet,24,22,1,1
543,wikitext,mallet,24,23,1,1
544,wikitext,mallet,24,27,1,1
545,wikitext,mallet,24,30,1,1
546,wikitext,mallet,24,34,1,1
547,wikitext,mallet,24,35,1,1
548,wikitext,mallet,24,36,1,1
549,wikitext,mallet,24,39,1,1
550,wikitext,mallet,24,41,1,1
551,wikitext,mallet,24,45,1,1
552,wikitext,mallet,24,56,1,1
553,wikitext,mallet,24,61,0,1
554,wikitext,mallet,24,66,1,1
555,wikitext,mallet,24,74,1,1
556,wikitext,mallet,24,76,1,1
557,wikitext,mallet,24,79,0,1
558,wikitext,mallet,24,82,1,1
559,wikitext,mallet,24,84,1,1
560,wikitext,mallet,24,86,1,1
561,wikitext,mallet,24,88,1,1
562,wikitext,mallet,24,92,1,1
563,wikitext,mallet,24,94,1,1
564,wikitext,mallet,24,107,1,1
565,wikitext,mallet,24,109,1,1
566,wikitext,mallet,24,110,1,1
567,wikitext,mallet,24,120,0,1
568,wikitext,mallet,24,127,0,1
569,wikitext,mallet,24,132,1,1
570,wikitext,mallet,24,138,0,1
571,wikitext,mallet,24,139,1,1
572,wikitext,mallet,24,141,1,1
573,wikitext,mallet,24,142,1,1
574,wikitext,mallet,24,150,1,1
575,wikitext,mallet,24,152,1,1
576,wikitext,mallet,24,154,1,1
577,wikitext,mallet,24,155,1,1
578,wikitext,mallet,43,3,0,1
579,wikitext,mallet,43,6,0,1
580,wikitext,mallet,43,8,0,1
581,wikitext,mallet,43,17,0,1
582,wikitext,mallet,43,19,0,1
583,wikitext,mallet,43,20,0,1
584,wikitext,mallet,43,23,0,1
585,wikitext,mallet,43,24,0,0
586,wikitext,mallet,43,30,0,1
587,wikitext,mallet,43,31,0,0
588,wikitext,mallet,43,32,0,1
589,wikitext,mallet,43,34,0,1
590,wikitext,mallet,43,35,0,1
591,wikitext,mallet,43,42,1,1
592,wikitext,mallet,43,56,1,1
593,wikitext,mallet,43,71,1,1
594,wikitext,mallet,43,74,1,1
595,wikitext,mallet,43,75,0,1
596,wikitext,mallet,43,79,1,1
597,wikitext,mallet,43,87,0,1
598,wikitext,mallet,43,91,0,1
599,wikitext,mallet,43,98,1,1
600,wikitext,mallet,43,100,1,1
601,wikitext,mallet,43,110,0,1
602,wikitext,mallet,43,112,1,1
603,wikitext,mallet,43,118,0,1
604,wikitext,mallet,43,119,0,1
605,wikitext,mallet,43,120,1,1
606,wikitext,mallet,43,126,1,1
607,wikitext,mallet,43,130,1,1
608,wikitext,mallet,43,138,0,1
609,wikitext,mallet,43,139,0,1
610,wikitext,mallet,43,140,1,1
611,wikitext,mallet,43,141,0,1
612,wikitext,mallet,43,151,0,0
613,wikitext,mallet,43,152,1,1
614,wikitext,mallet,43,155,0,1
615,wikitext,mallet,9,3,1,1
616,wikitext,mallet,9,4,1,1
617,wikitext,mallet,9,21,1,1
618,wikitext,mallet,9,26,1,1
619,wikitext,mallet,9,28,1,1
620,wikitext,mallet,9,32,1,1
621,wikitext,mallet,9,42,1,1
622,wikitext,mallet,9,48,1,1
623,wikitext,mallet,9,50,1,1
624,wikitext,mallet,9,51,1,1
625,wikitext,mallet,9,54,1,1
626,wikitext,mallet,9,55,1,1
627,wikitext,mallet,9,57,1,1
628,wikitext,mallet,9,61,1,1
629,wikitext,mallet,9,62,1,1
630,wikitext,mallet,9,63,1,1
631,wikitext,mallet,9,65,1,1
632,wikitext,mallet,9,66,1,1
633,wikitext,mallet,9,71,1,1
634,wikitext,mallet,9,73,1,1
635,wikitext,mallet,9,76,1,1
636,wikitext,mallet,9,77,1,1
637,wikitext,mallet,9,79,1,1
638,wikitext,mallet,9,82,1,1
639,wikitext,mallet,9,87,1,1
640,wikitext,mallet,9,89,1,1
641,wikitext,mallet,9,94,1,1
642,wikitext,mallet,9,98,1,1
643,wikitext,mallet,9,99,1,1
644,wikitext,mallet,9,102,1,1
645,wikitext,mallet,9,103,0,1
646,wikitext,mallet,9,110,1,1
647,wikitext,mallet,9,111,1,1
648,wikitext,mallet,9,112,1,1
649,wikitext,mallet,9,123,1,1
650,wikitext,mallet,9,128,1,1
651,wikitext,mallet,9,131,1,0
652,wikitext,mallet,9,140,1,1
653,wikitext,mallet,9,143,0,1
654,wikitext,mallet,9,155,0,1
655,wikitext,mallet,9,157,1,1
656,wikitext,mallet,15,3,1,1
657,wikitext,mallet,15,5,1,1
658,wikitext,mallet,15,8,1,1
659,wikitext,mallet,15,14,0,1
660,wikitext,mallet,15,18,0,1
661,wikitext,mallet,15,20,0,0
662,wikitext,mallet,15,27,1,1
663,wikitext,mallet,15,30,1,1
664,wikitext,mallet,15,35,0,1
665,wikitext,mallet,15,38,1,1
666,wikitext,mallet,15,39,0,1
667,wikitext,mallet,15,40,1,1
668,wikitext,mallet,15,43,0,1
669,wikitext,mallet,15,44,0,1
670,wikitext,mallet,15,49,0,0
671,wikitext,mallet,15,50,1,1
672,wikitext,mallet,15,60,1,1
673,wikitext,mallet,15,65,0,1
674,wikitext,mallet,15,67,0,1
675,wikitext,mallet,15,69,1,0
676,wikitext,mallet,15,75,1,1
677,wikitext,mallet,15,77,1,1
678,wikitext,mallet,15,83,1,1
679,wikitext,mallet,15,89,1,1
680,wikitext,mallet,15,90,1,1
681,wikitext,mallet,15,91,1,1
682,wikitext,mallet,15,92,0,1
683,wikitext,mallet,15,93,1,1
684,wikitext,mallet,15,98,1,1
685,wikitext,mallet,15,99,1,1
686,wikitext,mallet,15,102,1,1
687,wikitext,mallet,15,109,1,1
688,wikitext,mallet,15,113,1,1
689,wikitext,mallet,15,122,0,1
690,wikitext,mallet,15,123,1,1
691,wikitext,mallet,15,127,0,1
692,wikitext,mallet,15,131,1,1
693,wikitext,mallet,15,132,1,1
694,wikitext,mallet,15,137,1,1
695,wikitext,mallet,15,140,1,1
696,wikitext,mallet,15,141,0,1
697,wikitext,mallet,15,149,1,1
698,wikitext,mallet,15,153,0,1
699,wikitext,mallet,15,156,1,1
700,wikitext,mallet,15,157,0,1
701,wikitext,mallet,15,158,0,1
702,wikitext,mallet,29,0,1,1
703,wikitext,mallet,29,4,1,1
704,wikitext,mallet,29,9,1,0
705,wikitext,mallet,29,19,1,1
706,wikitext,mallet,29,22,1,1
707,wikitext,mallet,29,24,1,1
708,wikitext,mallet,29,26,1,1
709,wikitext,mallet,29,28,1,1
710,wikitext,mallet,29,29,1,1
711,wikitext,mallet,29,34,1,1
712,wikitext,mallet,29,36,1,1
713,wikitext,mallet,29,39,1,1
714,wikitext,mallet,29,47,1,1
715,wikitext,mallet,29,48,1,1
716,wikitext,mallet,29,50,1,1
717,wikitext,mallet,29,54,1,1
718,wikitext,mallet,29,55,1,1
719,wikitext,mallet,29,57,1,1
720,wikitext,mallet,29,58,1,1
721,wikitext,mallet,29,61,1,1
722,wikitext,mallet,29,72,1,1
723,wikitext,mallet,29,77,1,1
724,wikitext,mallet,29,79,1,1
725,wikitext,mallet,29,93,1,1
726,wikitext,mallet,29,95,1,1
727,wikitext,mallet,29,108,1,1
728,wikitext,mallet,29,112,1,1
729,wikitext,mallet,29,114,1,1
730,wikitext,mallet,29,118,1,1
731,wikitext,mallet,29,121,1,1
732,wikitext,mallet,29,122,1,1
733,wikitext,mallet,29,124,1,1
